Date,Open,High,Low,Close,Volume,Adj Close
2016-04-11,150.259995,151.949997,149.220001,149.25,3829400,149.25
2016-04-04,152.339996,153.520004,147.809998,149.350006,3651300,149.350006
2016-03-28,147.75,153.100006,147.229996,152.520004,4064700,152.520004
2016-03-21,147.300003,149.279999,144.490005,147.949997,4319000,147.949997
2016-03-14,142.009995,147.509995,141.039993,147.089996,5940100,147.089996
2016-03-07,137.279999,142.919998,136.869995,142.360001,4683500,142.360001
2016-02-29,132.00,139.419998,130.899994,137.800003,4456700,137.800003
2016-02-22,133.080002,134.919998,129.679993,132.029999,4124700,132.029999
2016-02-16,121.830002,134.00,121.339996,133.080002,5963600,133.080002
2016-02-08,126.00,127.510002,116.900002,121.040001,6370200,121.040001
2016-02-01,124.400002,128.639999,122.290001,128.570007,5105900,127.270012
2016-01-25,122.099998,124.790001,120.650002,124.790001,5456100,123.528221
2016-01-19,130.110001,132.100006,118.00,122.50,11056800,121.261375
2016-01-11,131.809998,134.279999,128.869995,130.029999,5894200,128.71524
2016-01-04,135.600006,136.889999,131.320007,131.630005,5050700,130.299072
2015-12-28,137.740005,140.440002,136.539993,137.619995,3384600,136.228485
2015-12-21,135.830002,139.309998,134.020004,138.25,4135300,136.852127
2015-12-14,135.309998,139.649994,134.020004,134.899994,5562500,133.535995
2015-12-07,140.160004,140.410004,133.910004,134.570007,4271100,133.209335
2015-11-30,138.610001,141.399994,137.990005,140.429993,4589400,139.010071
2015-11-23,138.529999,139.339996,137.119995,138.460007,3299900,137.060013
2015-11-16,131.789993,138.919998,131.789993,138.50,4217000,137.099594
2015-11-09,137.919998,138.080002,131.649994,131.75,5015200,130.417847
2015-11-02,140.50,142.800003,137.869995,138.25,4306000,136.852127
2015-10-26,144.75,145.00,137.330002,140.080002,6940700,137.375015
2015-10-19,149.850006,149.970001,139.300003,144.679993,8384900,141.886185
2015-10-12,152.399994,152.580002,148.580002,150.389999,3485300,147.485931
2015-10-05,145.820007,153.149994,145.820007,152.389999,3891200,149.447296
2015-09-28,144.419998,145.710007,140.559998,144.580002,3992400,141.788116
2015-09-21,145.389999,146.979996,141.949997,145.419998,3363600,142.611893
2015-09-14,147.369995,149.679993,143.979996,144.509995,4144300,141.719467
2015-09-08,145.860001,149.039993,144.509995,147.369995,3479400,144.524231
2015-08-31,147.380005,148.399994,141.850006,143.699997,4284300,140.92511
2015-08-24,143.470001,148.970001,140.619995,147.979996,6507500,145.122452
2015-08-17,155.199997,156.690002,148.699997,148.850006,3969500,145.975662
2015-08-10,156.770004,157.470001,153.949997,155.75,3420100,152.742416
2015-08-03,161.699997,161.850006,154.339996,155.119995,4029700,152.124588
2015-07-27,159.00,162.059998,158.50,161.990005,3076100,157.554016
2015-07-20,172.789993,173.779999,159.410004,159.75,7424800,155.375351
2015-07-13,167.929993,172.520004,167.520004,172.509995,3427700,167.785919
2015-07-06,163.830002,167.399994,162.229996,166.949997,3628800,162.378174
2015-06-29,163.919998,165.610001,162.119995,165.089996,3244800,160.569122
2015-06-22,167.649994,169.970001,165.229996,165.460007,4188000,160.929001
2015-06-15,166.990005,168.720001,164.25,166.990005,4152600,162.417099
2015-06-08,167.169998,170.440002,163.369995,166.990005,3672800,162.417099
2015-06-01,170.210007,171.559998,167.199997,167.399994,2773500,162.815857
